Dept,quarter,n,n_markdown,baseline_mean,slope,marginal_ROI,pvalue
38,4,1395,540,60428.3,97.3426,0.001611,0.0003
48,1,403,184,1049.9,-6.1415,-0.00585,0.0557
48,2,447,183,1061.8,-0.7483,-0.000705,0.0104
48,3,485,186,1041.9,-0.1431,-0.000137,0.8656
48,4,407,181,1007.6,-2.5565,-0.002537,0.3624
99,1,159,109,147.3,0.7304,0.004957,0.0005
99,2,209,131,150.1,-1.7524,-0.011674,0.0
99,3,323,236,144.4,-1.239,-0.008582,0.0002
99,4,171,161,145.3,-0.12,-0.000826,0.926
93,1,1368,546,26375.3,-33.3002,-0.001263,0.0021
93,2,1613,546,26434.7,-116.887,-0.004422,0.0
93,3,1646,546,26564.5,-79.4825,-0.002992,0.0
93,4,1286,504,26355.9,-20.3146,-0.000771,0.178
90,1,1485,585,44226.1,-134.2211,-0.003035,0.0
90,2,1755,585,44226.1,-221.1957,-0.005001,0.0
90,3,1800,585,44226.1,-75.346,-0.001704,0.0
90,4,1395,540,44226.1,-72.5103,-0.00164,0.0
82,1,1485,585,14649.7,-13.7125,-0.000936,0.0136
82,2,1755,585,14649.7,-158.887,-0.010846,0.0
82,3,1800,585,14649.7,-76.0335,-0.00519,0.0
82,4,1395,540,14649.7,-42.2905,-0.002887,0.038
14,1,1485,585,14533.6,19.2255,0.001323,0.0003
14,2,1755,585,14533.6,-49.9413,-0.003436,0.0
14,3,1800,585,14533.6,-36.8124,-0.002533,0.0001
14,4,1395,540,14533.6,-158.9435,-0.010936,0.0
7,1,1485,585,23274.7,170.2851,0.007316,0.0
7,2,1755,585,23274.7,-39.3587,-0.001691,0.1123
7,3,1800,585,23274.7,-118.3126,-0.005083,0.0001
7,4,1395,540,23274.7,-425.8283,-0.018296,0.0
92,1,1485,585,72675.8,-266.8217,-0.003671,0.0
92,2,1755,585,72675.8,-620.5194,-0.008538,0.0
92,3,1800,585,72675.8,-412.3542,-0.005674,0.0
92,4,1395,540,72675.8,-179.3263,-0.002467,0.0
5,1,1460,585,21512.5,12.0834,0.000562,0.39
5,2,1728,585,21480.8,74.0624,0.003448,0.0062
5,3,1779,585,21400.7,-82.0309,-0.003833,0.0083
5,4,1380,540,21382.2,-283.2645,-0.013248,0.0004
72,1,1400,551,49983.2,-49.2989,-0.000986,0.0968
72,2,1647,555,50212.3,-33.567,-0.000669,0.2103
72,3,1686,548,50308.5,-113.5123,-0.002256,0.0013
72,4,1313,511,50065.2,-1209.3178,-0.024155,0.0
60,1,1309,578,341.7,-0.7108,-0.00208,0.002
60,2,1570,585,341.2,-3.7687,-0.011044,0.0
60,3,1641,585,337.4,-2.0229,-0.005995,0.0
60,4,1252,538,341.2,-4.6486,-0.013625,0.0
59,1,1422,525,783.0,-2.9574,-0.003777,0.0667
59,2,1660,507,792.7,-7.3006,-0.009209,0.0003
59,3,1671,507,805.5,-9.929,-0.012326,0.0
59,4,1353,517,776.3,-7.5723,-0.009755,0.0737
87,1,1477,585,12419.1,-135.4534,-0.010907,0.0
87,2,1735,584,12493.7,-252.5287,-0.020213,0.0
87,3,1787,585,12442.4,-175.0558,-0.014069,0.0
87,4,1392,538,12380.1,-10.4474,-0.000844,0.3291
77,4,89,89,333.3,-3.513,-0.01054,0.1884
18,1,1471,585,6567.4,25.3698,0.003863,0.078
18,2,1202,400,7151.9,-179.8526,-0.025147,0.0
18,3,965,361,7286.5,-109.1669,-0.014982,0.0187
18,4,1391,540,6533.8,-237.0103,-0.036275,0.0
28,1,1417,557,633.3,-2.693,-0.004253,0.0227
28,2,1668,550,635.3,-14.6174,-0.023008,0.0
28,3,1709,552,635.8,-5.6327,-0.008859,0.003
28,4,1330,513,633.7,-24.8431,-0.039204,0.0
54,1,1108,399,140.7,-0.8172,-0.005807,0.0
54,2,1321,393,139.0,-3.9711,-0.02857,0.0
54,3,1308,374,140.1,-1.8267,-0.01304,0.0
54,4,1030,372,140.1,-4.3248,-0.030861,0.0
